wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front wall_front 
Box01.002 Box01.002 Box50.002 Box50.002 Box50.002 Box50.002 Box50.002 Box64.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 0 0 0 0 wall_left Box01.002 
Box01.002 Box01.002 Box95.002 Box95.002 Box95.002 Box95.002 Box95.002 Box95.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 0 0 0 0 wall_left Box01.002 
Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 Box01.002 0 0 0 0 wall_left Box01.002 
wall_right 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 2 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 2 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 8 8 8 8 8 8 0 0 0 0 0 0 0 1 1 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 8 8 8 8 8 8 0 0 0 0 0 0 0 1 1 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 9 8 8 8 8 8 8 0 0 0 0 0 0 0 1 1 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 9 8 8 8 8 8 8 0 0 0 0 0 0 0 1 1 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 8 8 8 8 8 8 0 0 0 0 0 0 0 1 1 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 8 8 8 8 8 8 0 0 0 0 0 0 0 1 1 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 8 8 8 8 8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 8 8 8 8 8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 9 9 9 9 9 3 0 0 0 0 0 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 9 9 9 9 9 3 0 0 0 0 0 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 0 7 7 7 7 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 7 7 7 7 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 7 7 7 7 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 7 7 7 7 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 0 0 0 0 0 0 wall_left wall_right 
wall_right 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 0 0 0 0 0 0 wall_left wall_right 
